X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-32.6,0.0405,-69.5,0.0405,-20.9
0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,-32.2,0.054,-69.6,0.054,-19.6
0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,-32.5,0.0675,-69.3,0.0675,-19
0.0054,0,0.0405,0.9787598,0.0405,1.62915,0.0405,0.001953125,0.0405,7.564886,0.0405,-30.61069,0.0405,-13.0916,0.081,-33.7,0.081,-69,0.081,-19.9
0.0063,0,0.04725,1.360596,0.04725,1.325195,0.04725,-0.1462402,0.04725,20.87786,0.04725,-32.87023,0.04725,-32.79389,0.0945,-34.1,0.0945,-69.4,0.0945,-19.7
0.0072,0,0.054,1.166016,0.054,1.357178,0.054,-0.02612305,0.054,55.41985,0.054,3.083969,0.054,-66.85497,0.108,-34.4,0.108,-68.7,0.108,-19
0.0081,0,0.06075,0.942627,0.06075,1.491699,0.06075,0.01708984,0.06075,68.65649,0.06075,0.1450382,0.06075,-91.19084,0.1215,-36.4,0.1215,-68.3,0.1215,-19.6
0.009000001,0,0.0675,0.9040527,0.0675,1.532715,0.0675,0.03271484,0.0675,83.8855,0.0675,-6.114504,0.0675,-95.59542,0.135,-38,0.135,-67.8,0.135,-19.4
0.0099,0,0.07425,0.6865234,0.07425,1.41333,0.07425,-0.07250977,0.07425,95.08397,0.07425,-6.80916,0.07425,-101.3282,0.1485,-38.2,0.1485,-68,0.1485,-18.7
0.0108,0,0.081,0.5097656,0.081,0.767334,0.081,-0.3486328,0.081,84.50381,0.081,-26.41221,0.081,-98.35114,0.162,-38.5,0.162,-67.8,0.162,-18.5
0.0117,0,0.08775,0.7463379,0.08775,-0.2553711,0.08775,-0.6274414,0.08775,33.75573,0.08775,-44.32061,0.08775,-64.15267,0.1755,-38.4,0.1755,-67.9,0.1755,-19.6
0.0126,0,0.0945,0.986084,0.0945,-2,0.0945,-0.5131836,0.0945,-83.55725,0.0945,-48.1145,0.0945,-0.1145038,0.189,-38.8,0.189,-67.2,0.189,-18.1
0.0135,0,0.10125,1.757324,0.10125,-2,0.10125,0.3962402,0.10125,-83.96183,0.10125,38.37405,0.10125,34.87786,0.2025,-38.7,0.2025,-67.8,0.2025,-19.8
0.0144,0,0.108,1.999939,0.108,-2,0.108,1.840332,0.108,250.1298,0.108,-28.22137,0.108,-39.45038,0.216,-39.1,0.216,-67.9,0.216,-19.4
0.0153,0,0.11475,1.956787,0.11475,1.407471,0.11475,-0.4130859,0.11475,250.1298,0.11475,-95.84733,0.11475,-137.7863,0.2295,-39.3,0.2295,-67.7,0.2295,-19.2
0.0162,0,0.1215,1.999939,0.1215,1.999939,0.1215,-0.1818848,0.1215,188.5649,0.1215,-14.46565,0.1215,-200.7939,0.243,-39.3,0.243,-67.3,0.243,-19.4
0.0171,0,0.12825,1.999939,0.12825,1.999939,0.12825,-0.05371094,0.12825,140.5267,0.12825,-62.42748,0.12825,-206.0916,0.2565,-40,0.2565,-67.5,0.2565,-19
0.018,0,0.135,1.651611,0.135,1.618896,0.135,-0.2658691,0.135,34.70992,0.135,-66.87023,0.135,-135.0763,0.27,-40.1,0.27,-67.1,0.27,-19
0.0189,0,0.14175,1.237793,0.14175,0.6035156,0.14175,-0.1223145,0.14175,-46.32061,0.14175,-49.23664,0.14175,-100.3969,0.2835,-40.6,0.2835,-67.5,0.2835,-17
0.0198,0,0.1485,0.9348145,0.1485,-0.1894531,0.1485,0.1101074,0.1485,-1.625954,0.1485,-49.16031,0.1485,-101.2214,0.297,-40.3,0.297,-67.1,0.297,-17.6
0.0207,0,0.15525,0.7922363,0.15525,-0.2932129,0.15525,-0.1420898,0.15525,-3.954198,0.15525,-23.96183,0.15525,-92.1832,0.3105,-40.7,0.3105,-67.2,0.3105,-18.9
0.0216,0,0.162,0.869873,0.162,0.1313477,0.162,-0.2751465,0.162,6.793893,0.162,-20.32061,0.162,-84.47328,0.324,-40.8,0.324,-66.6,0.324,-17.1
0.0225,0,0.16875,0.9008789,0.16875,0.4262695,0.16875,-0.3466797,0.16875,-14.28244,0.16875,-25.74809,0.16875,-89.44275,0.3375,-41,0.3375,-67.1,0.3375,-19.6
0.0234,0,0.1755,0.8911133,0.1755,0.4228516,0.1755,-0.3215332,0.1755,-36.01527,0.1755,-8.625955,0.1755,-80.55725,0.351,-40.9,0.351,-67.2,0.351,-18.7
0.0243,0,0.18225,0.9375,0.18225,0.1958008,0.18225,-0.3813477,0.18225,-55.38168,0.18225,-4.78626,0.18225,-72.80153,0.3645,-40.7,0.3645,-67.3,0.3645,-17.7
0.0252,0,0.189,0.8786621,0.189,-0.1508789,0.189,-0.4331055,0.189,-49.64122,0.189,2.198473,0.189,-66.67175,0.378,-40.8,0.378,-67.5,0.378,-17.6
0.0261,0,0.19575,0.7980957,0.19575,-0.2268066,0.19575,-0.3984375,0.19575,-30.64122,0.19575,0.9694657,0.19575,-62.98473,0.3915,-41.1,0.3915,-67,0.3915,-17.8
0.027,0,0.2025,0.7910156,0.2025,-0.02954102,0.2025,-0.2929688,0.2025,-20.51908,0.2025,0.2061069,0.2025,-59.63359,0.405,-40.9,0.405,-67.4,0.405,-18.8
0.0279,0,0.20925,0.8574219,0.20925,0.1691895,0.20925,-0.2319336,0.20925,-29.9313,0.20925,-1.832061,0.20925,-56.74809,0.4185,-41.6,0.4185,-67.2,0.4185,-18.2
0.0288,0,0.216,0.8916016,0.216,0.137207,0.216,-0.2045898,0.216,-36.99237,0.216,-3.916031,0.216,-54.67176,0.432,-40.5,0.432,-67.5,0.432,-18
0.0297,0,0.22275,0.8686523,0.22275,-0.03637695,0.22275,-0.1870117,0.22275,-36.53435,0.22275,-5.793893,0.22275,-50.39695,0.4455,-41.3,0.4455,-67.7,0.4455,-18.3
0.0306,0,0.2295,0.9001465,0.2295,-0.1315918,0.2295,-0.1743164,0.2295,-22.35114,0.2295,-9.297709,0.2295,-51.31298,0.459,-41.5,0.459,-67.9,0.459,-19.1
0.0315,0,0.23625,0.9509277,0.23625,-0.1010742,0.23625,-0.1057129,0.23625,-0.3664122,0.23625,-10.41221,0.23625,-56.92366,0.4725,-41.4,0.4725,-68.4,0.4725,-18.6
0.0324,0,0.243,0.9831543,0.243,-0.03173828,0.243,-0.08007813,0.243,18.75573,0.243,-14.57252,0.243,-63.03817,0.486,-41,0.486,-67.7,0.486,-19.5
0.0333,0,0.24975,1.029053,0.24975,0.1254883,0.24975,-0.1242676,0.24975,27.25954,0.24975,-21.12977,0.24975,-68.48092,0.4995,-41,0.4995,-68,0.4995,-19.1
0.0342,0,0.2565,1.061523,0.2565,0.2080078,0.2565,-0.2333984,0.2565,23.81679,0.2565,-26.77099,0.2565,-71.0687,0.513,-41.8,0.513,-68.1,0.513,-20.2
0.0351,0,0.26325,1.066162,0.26325,0.2521973,0.26325,-0.3208008,0.26325,10.30534,0.26325,-22.68702,0.26325,-67.23664,0.5265,-41.6,0.5265,-68.7,0.5265,-19.9
0.036,0,0.27,1.020996,0.27,0.2636719,0.27,-0.3642578,0.27,-1.320611,0.27,-18.91603,0.27,-61.78626,0.54,-41.5,0.54,-68.4,0.54,-19.1
0.0369,0,0.27675,0.9631348,0.27675,0.2253418,0.27675,-0.3618164,0.27675,-12.85496,0.27675,-14.19847,0.27675,-55.0916,0.5535,-42.2,0.5535,-68.7,0.5535,-18.9
0.0378,0,0.2835,0.934082,0.2835,0.1923828,0.2835,-0.3205566,0.2835,-25.86259,0.2835,-6.587786,0.2835,-48.64122,0.567,-42.7,0.567,-69,0.567,-19.1
0.0387,0,0.29025,0.9299316,0.29025,0.1660156,0.29025,-0.2822266,0.29025,-28.41985,0.29025,-7.198473,0.29025,-42.67176,0.5805,-42.8,0.5805,-68.6,0.5805,-19.6
0.0396,0,0.297,0.9645996,0.297,0.1677246,0.297,-0.2678223,0.297,-30.41985,0.297,-7.374046,0.297,-39.16031,0.594,-43,0.594,-68.9,0.594,-18.1
0.0405,0.0001505608,0.30375,0.9816895,0.30375,0.1162109,0.30375,-0.277832,0.30375,-31.44275,0.30375,-7.748092,0.30375,-39.13741,0.6075,-42.5,0.6075,-68.9,0.6075,-19.2
0.0414,0.0001414969,0.3105,0.9914551,0.3105,0.09936523,0.3105,-0.2570801,0.3105,-27.0916,0.3105,-6.709924,0.3105,-40.67939,0.621,-43.1,0.621,-69.3,0.621,-19.2
0.0423,0.0001440146,0.31725,0.9951172,0.31725,0.09130859,0.31725,-0.2727051,0.31725,-24.48855,0.31725,-5.091603,0.31725,-42.10687,0.6345,-43.5,0.6345,-68.7,0.6345,-19.9
0.0432,0.0001448539,0.324,1.000732,0.324,0.08642578,0.324,-0.2548828,0.324,-19.20611,0.324,-4.343512,0.324,-43.98473,0.648,-43.7,0.648,-69.3,0.648,-18.5
0.0441,0.0001151446,0.33075,0.9855957,0.33075,0.09277344,0.33075,-0.25,0.33075,-13.8855,0.33075,-3.992366,0.33075,-46.34351,0.6615,-43.3,0.6615,-69.7,0.6615,-20.2
0.045,8.274968E-05,0.3375,0.9873047,0.3375,0.1433105,0.3375,-0.2709961,0.3375,-8.78626,0.3375,-3.793893,0.3375,-47.54198,0.675,-43.8,0.675,-69.9,0.675,-18.8
0.0459,5.48867E-05,0.34425,0.9746094,0.34425,0.2075195,0.34425,-0.2714844,0.34425,-9.061069,0.34425,-3.091603,0.34425,-47.42748,0.6885,-44.1,0.6885,-69.9,0.6885,-19.3
0.0468,2.668803E-05,0.351,0.9609375,0.351,0.204834,0.351,-0.2878418,0.351,-8.725191,0.351,-5.091603,0.351,-45.66412,0.702,-44.1,0.702,-70.3,0.702,-20.8
0.0477,2.014191E-06,0.35775,0.9665527,0.35775,0.2241211,0.35775,-0.3266602,0.35775,-19.00763,0.35775,-0.9160305,0.35775,-42.07634,0.7155,-43.4,0.7155,-70.6,0.7155,-19
0.0486,-3.575189E-05,0.3645,0.9592285,0.3645,0.1977539,0.3645,-0.3061523,0.3645,-15.0687,0.3645,-3.038168,0.3645,-40.40458,0.729,-43.7,0.729,-70.5,0.729,-19.7
0.0495,-6.965744E-05,0.37125,0.9890137,0.37125,0.2053223,0.37125,-0.3049316,0.37125,-17.50382,0.37125,-0.2977099,0.37125,-37.74809,0.7425,-43.3,0.7425,-71.5,0.7425,-19.5
0.0504,-8.509956E-05,0.378,0.9938965,0.378,0.2111816,0.378,-0.3066406,0.378,-23.33588,0.378,1.396947,0.378,-35.26717,0.756,-43.6,0.756,-71.3,0.756,-21.4
0.0513,-0.0001250477,0.38475,1.006348,0.38475,0.1940918,0.38475,-0.2824707,0.38475,-28.19084,0.38475,3.854962,0.38475,-34.48855,0.7695,-43.4,0.7695,-71.8,0.7695,-19.8
