X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-34.4,0.0135,-69.2,0.0135,-15.1
0.0018,0,0.0135,0.8913574,0.0135,0.1347656,0.0135,-0.2175293,0.0135,16.76336,0.0135,13.36641,0.0135,-71.54962,0.027,-34.2,0.027,-70.4,0.027,-14.4
0.0027,0,0.02025,0.9755859,0.02025,0.2075195,0.02025,-0.1584473,0.02025,13.82443,0.02025,11.61832,0.02025,-69.86259,0.0405,-34.5,0.0405,-69.3,0.0405,-14.9
0.0036,0,0.027,1.030762,0.027,0.1918945,0.027,-0.1191406,0.027,8.526717,0.027,7.259542,0.027,-67.38931,0.054,-34.8,0.054,-69.9,0.054,-15.3
0.0045,0,0.03375,1.042236,0.03375,0.1430664,0.03375,-0.1540527,0.03375,4.625954,0.03375,1.664122,0.03375,-64.65649,0.0675,-35.5,0.0675,-70.1,0.0675,-14.5
0.0054,0,0.0405,1.028076,0.0405,0.1276855,0.0405,-0.1899414,0.0405,2.076336,0.0405,-2.083969,0.0405,-63.29771,0.081,-35.9,0.081,-70,0.081,-15.7
0.0063,0,0.04725,0.9978027,0.04725,0.1884766,0.04725,-0.2429199,0.04725,-0.908397,0.04725,-4.648855,0.04725,-62.66412,0.0945,-35.7,0.0945,-70.2,0.0945,-13.8
0.0072,0,0.054,0.9733887,0.054,0.25,0.054,-0.2922363,0.054,-8.229008,0.054,-6.022901,0.054,-59.05344,0.108,-36,0.108,-69.6,0.108,-13.9
0.0081,0,0.06075,0.9594727,0.06075,0.2595215,0.06075,-0.3151855,0.06075,-16.35114,0.06075,-6.114504,0.06075,-54.47328,0.1215,-36.5,0.1215,-70,0.1215,-14.6
0.009000001,0,0.0675,0.9177246,0.0675,0.2416992,0.0675,-0.3459473,0.0675,-23.64886,0.0675,-6.923664,0.0675,-48.35115,0.135,-36.3,0.135,-70.3,0.135,-15
0.0099,0,0.07425,0.9267578,0.07425,0.2199707,0.07425,-0.3747559,0.07425,-29.41221,0.07425,-5.358778,0.07425,-44.0229,0.1485,-35.9,0.1485,-69.9,0.1485,-14.5
0.0108,0,0.081,0.9316406,0.081,0.2148438,0.081,-0.3796387,0.081,-33.41221,0.081,-6.282443,0.081,-39.06107,0.162,-35.7,0.162,-69.9,0.162,-15.1
0.0117,0,0.08775,0.9372559,0.08775,0.1826172,0.08775,-0.3710938,0.08775,-38.89313,0.08775,-6.450382,0.08775,-36.41221,0.1755,-36.2,0.1755,-70.3,0.1755,-16.3
0.0126,0,0.0945,0.9367676,0.0945,0.1079102,0.0945,-0.369873,0.0945,-39.58015,0.0945,-5.503817,0.0945,-33.59542,0.189,-35.7,0.189,-70.3,0.189,-15.4
0.0135,-8.946365E-05,0.10125,0.9294434,0.10125,0.07666016,0.10125,-0.3623047,0.10125,-33.27481,0.10125,-3.908397,0.10125,-33.59542,0.2025,-36.1,0.2025,-70,0.2025,-15.5
0.0144,-7.301442E-05,0.108,0.940918,0.108,0.1206055,0.108,-0.3461914,0.108,-27.81679,0.108,-2.137405,0.108,-34.45038,0.216,-36.5,0.216,-70.1,0.216,-14.6
0.0153,-7.351796E-05,0.11475,0.9509277,0.11475,0.1489258,0.11475,-0.3320313,0.11475,-24.52672,0.11475,-1.122137,0.11475,-34.23664,0.2295,-36.8,0.2295,-70.5,0.2295,-14.4
0.0162,-7.603571E-05,0.1215,0.9628906,0.1215,0.1445313,0.1215,-0.3349609,0.1215,-21.78626,0.1215,-0.9312977,0.1215,-33.82443,0.243,-36,0.243,-70.6,0.243,-15.4
0.0171,-0.0001008774,0.12825,0.9707031,0.12825,0.119873,0.12825,-0.3364258,0.12825,-15.76336,0.12825,1.89313,0.12825,-32.64122,0.2565,-36.9,0.2565,-69.8,0.2565,-15.9
0.018,-8.174258E-05,0.135,0.9587402,0.135,0.1259766,0.135,-0.3337402,0.135,-10.05344,0.135,3.083969,0.135,-32.66412,0.27,-36.8,0.27,-70.3,0.27,-15.4
0.0189,-7.721066E-05,0.14175,0.9519043,0.14175,0.1525879,0.14175,-0.3461914,0.14175,-6.099236,0.14175,6.259542,0.14175,-32.8168,0.2835,-36.7,0.2835,-70.3,0.2835,-14.9
0.0198,-0.0001005417,0.1485,0.9396973,0.1485,0.1687012,0.1485,-0.3662109,0.1485,-6.633588,0.1485,7.099236,0.1485,-31.78626,0.297,-36.7,0.297,-70.2,0.297,-14
