X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,-20.9,0.027,-135.7,0.027,-24.1
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,-20.9,0.0405,-135.7,0.0405,-24.8
0.0036,0,0.027,-0.982666,0.027,0.09521484,0.027,0.2145996,0.027,-0.1832061,0.027,1.068702,0.027,0.3740458,0.054,-21.3,0.054,-135.6,0.054,-23.8
0.0045,0,0.03375,-0.9816895,0.03375,0.09082031,0.03375,0.2104492,0.03375,-0.3969466,0.03375,1.206107,0.03375,0.3282443,0.0675,-21.2,0.0675,-135.2,0.0675,-23.3
0.0054,0,0.0405,-0.9802246,0.0405,0.09692383,0.0405,0.2150879,0.0405,-0.2671756,0.0405,1.091603,0.0405,0.3435115,0.081,-21.4,0.081,-135.7,0.081,-25.2
0.0063,0,0.04725,-0.9833984,0.04725,0.1010742,0.04725,0.2211914,0.04725,-0.4656489,0.04725,1.007634,0.04725,0.4656489,0.0945,-20.9,0.0945,-135,0.0945,-24.2
0.0072,0,0.054,-0.9836426,0.054,0.09301758,0.054,0.2255859,0.054,-0.4351145,0.054,1.038168,0.054,0.4198473,0.108,-21,0.108,-134.9,0.108,-24.6
0.0081,0,0.06075,-0.972168,0.06075,0.09545898,0.06075,0.2199707,0.06075,-0.1450382,0.06075,1,0.06075,0.3282443,0.1215,-21.2,0.1215,-135.5,0.1215,-23.6
0.009000001,0,0.0675,-0.9748535,0.0675,0.09667969,0.0675,0.2258301,0.0675,-0.0610687,0.0675,1.160305,0.0675,0.3587786,0.135,-21.1,0.135,-134.9,0.135,-24.4
0.0099,0,0.07425,-0.9785156,0.07425,0.09277344,0.07425,0.2165527,0.07425,0.08396947,0.07425,1.40458,0.07425,0.2977099,0.1485,-20.9,0.1485,-135.5,0.1485,-23.7
0.0108,0,0.081,-0.9765625,0.081,0.09716797,0.081,0.2155762,0.081,0.3282443,0.081,1.48855,0.081,0.4580153,0.162,-20.9,0.162,-135.1,0.162,-23.9
0.0117,0,0.08775,-0.973877,0.08775,0.09814453,0.08775,0.217041,0.08775,0.2824427,0.08775,1.480916,0.08775,0.259542,0.1755,-21.6,0.1755,-135.4,0.1755,-24.4
0.0126,0,0.0945,-0.9760742,0.0945,0.09643555,0.0945,0.2158203,0.0945,0.4198473,0.0945,1.59542,0.0945,0.02290076,0.189,-21.1,0.189,-135.3,0.189,-23.1
0.0135,0,0.10125,-0.9765625,0.10125,0.09692383,0.10125,0.2194824,0.10125,0.2137405,0.10125,1.320611,0.10125,0.1374046,0.2025,-21.3,0.2025,-135.1,0.2025,-23.4
0.0144,0,0.108,-0.9758301,0.108,0.0925293,0.108,0.222168,0.108,0.4351145,0.108,0.9847328,0.108,-0.02290076,0.216,-21.2,0.216,-136,0.216,-23.5
0.0153,0,0.11475,-0.9824219,0.11475,0.0949707,0.11475,0.2211914,0.11475,0.1374046,0.11475,1.145038,0.11475,0.03053435,0.2295,-21.2,0.2295,-135.4,0.2295,-24.6
0.0162,0,0.1215,-0.9777832,0.1215,0.09960938,0.1215,0.2172852,0.1215,0.1374046,0.1215,1.122137,0.1215,0.2824427,0.243,-21.2,0.243,-135.2,0.243,-25
0.0171,0,0.12825,-0.9807129,0.12825,0.09692383,0.12825,0.2165527,0.12825,0.1679389,0.12825,1.007634,0.12825,0.08396947,0.2565,-21.5,0.2565,-134.7,0.2565,-24.5
0.018,0,0.135,-0.9777832,0.135,0.08496094,0.135,0.217041,0.135,0.2671756,0.135,1.305344,0.135,0.2671756,0.27,-21.6,0.27,-135.3,0.27,-23.7
0.0189,0,0.14175,-0.984375,0.14175,0.09399414,0.14175,0.2229004,0.14175,0.09160306,0.14175,1.221374,0.14175,0.3358779,0.2835,-21.4,0.2835,-135.2,0.2835,-23.7
0.0198,0,0.1485,-0.9770508,0.1485,0.09179688,0.1485,0.2236328,0.1485,0.2824427,0.1485,1.290076,0.1485,0.3282443,0.297,-21.1,0.297,-135.2,0.297,-24.9
0.0207,0,0.15525,-0.9848633,0.15525,0.09472656,0.15525,0.2131348,0.15525,0.2748092,0.15525,1.290076,0.15525,0.3969466,0.3105,-20.9,0.3105,-135.3,0.3105,-24.6
0.0216,0,0.162,-0.9765625,0.162,0.09008789,0.162,0.2165527,0.162,0.3358779,0.162,1.183206,0.162,0.5572519,0.324,-21.8,0.324,-135.7,0.324,-23
0.0225,0,0.16875,-0.9743652,0.16875,0.08642578,0.16875,0.2277832,0.16875,0.06870229,0.16875,1.236641,0.16875,0.5648855,0.3375,-21,0.3375,-135,0.3375,-24.5
0.0234,0,0.1755,-0.9797363,0.1755,0.08764648,0.1755,0.2192383,0.1755,0.351145,0.1755,1.335878,0.1755,0.4198473,0.351,-20.7,0.351,-135.3,0.351,-24.7
0.0243,0,0.18225,-0.9682617,0.18225,0.09204102,0.18225,0.2260742,0.18225,0.09160306,0.18225,1.519084,0.18225,0.648855,0.3645,-20.7,0.3645,-135.3,0.3645,-24
0.0252,0,0.189,-0.9782715,0.189,0.09472656,0.189,0.2258301,0.189,0.1832061,0.189,1.465649,0.189,0.3435115,0.378,-21,0.378,-135.4,0.378,-23.5
0.0261,0,0.19575,-0.9812012,0.19575,0.09570313,0.19575,0.2253418,0.19575,0.09923664,0.19575,1.29771,0.19575,0.4427481,0.3915,-21.3,0.3915,-135.3,0.3915,-24.6
0.027,-4.028382E-06,0.2025,-0.9755859,0.2025,0.09350586,0.2025,0.2143555,0.2025,0.03816794,0.2025,1.564885,0.2025,0.4885496,0.405,-20.9,0.405,-135.2,0.405,-24.8
0.0279,2.030976E-05,0.20925,-0.9775391,0.20925,0.09423828,0.20925,0.2231445,0.20925,0.1145038,0.20925,1.679389,0.20925,0.5954198,0.4185,-20.8,0.4185,-135.1,0.4185,-23.6
0.0288,9.903106E-06,0.216,-0.9802246,0.216,0.09155273,0.216,0.2260742,0.216,0.1450382,0.216,1.580153,0.216,0.5572519,0.432,-21.1,0.432,-135.2,0.432,-23.3
0.0297,-1.678492E-06,0.22275,-0.9758301,0.22275,0.09521484,0.22275,0.2192383,0.22275,0.2977099,0.22275,1.633588,0.22275,0.4732825,0.4455,-20.7,0.4455,-135.5,0.4455,-23.2
0.0306,9.735257E-06,0.2295,-0.9802246,0.2295,0.09863281,0.2295,0.2236328,0.2295,0.3435115,0.2295,1.541985,0.2295,0.5572519,0.459,-21,0.459,-135.3,0.459,-24.3
0.0315,8.560311E-06,0.23625,-0.9797363,0.23625,0.09375,0.23625,0.2263184,0.23625,0.1908397,0.23625,1.51145,0.23625,0.4961832,0.4725,-20.9,0.4725,-135.2,0.4725,-24.8
0.0324,2.517739E-06,0.243,-0.9768066,0.243,0.09179688,0.243,0.2167969,0.243,0.129771,0.243,1.549618,0.243,0.3053435,0.486,-20.9,0.486,-135.7,0.486,-24
0.0333,-1.174945E-06,0.24975,-0.9750977,0.24975,0.09790039,0.24975,0.2207031,0.24975,0.3435115,0.24975,1.557252,0.24975,0.5343512,0.4995,-21,0.4995,-135.2,0.4995,-23.7
0.0342,-9.063859E-06,0.2565,-0.9804688,0.2565,0.09619141,0.2565,0.215332,0.2565,0.1603053,0.2565,1.748092,0.2565,0.5419847,0.513,-21.6,0.513,-135.5,0.513,-23.3
0.0351,-2.618448E-05,0.26325,-0.9814453,0.26325,0.09521484,0.26325,0.222168,0.26325,0.1374046,0.26325,1.78626,0.26325,0.2748092,0.5265,-21.6,0.5265,-135.3,0.5265,-23.9
0.036,-3.642328E-05,0.27,-0.9775391,0.27,0.09448242,0.27,0.2253418,0.27,0.2290076,0.27,1.801527,0.27,0.6030535,0.54,-21.3,0.54,-135.1,0.54,-23.9
0.0369,-1.846342E-06,0.27675,-0.9816895,0.27675,0.09741211,0.27675,0.2233887,0.27675,0.09923664,0.27675,1.587786,0.27675,0.3969466,0.5535,-21.4,0.5535,-135.5,0.5535,-24.5
0.0378,-4.867628E-06,0.2835,-0.9802246,0.2835,0.09472656,0.2835,0.2145996,0.2835,0.1755725,0.2835,1.801527,0.2835,0.351145,0.567,-20.9,0.567,-135.6,0.567,-23.1
0.0387,-1.930266E-05,0.29025,-0.9816895,0.29025,0.08911133,0.29025,0.220459,0.29025,0.1908397,0.29025,1.984733,0.29025,0.5648855,0.5805,-20.8,0.5805,-134.9,0.5805,-23.9
0.0396,-2.030976E-05,0.297,-0.9804688,0.297,0.09692383,0.297,0.2243652,0.297,0.221374,0.297,2.10687,0.297,0.6870229,0.594,-21.3,0.594,-135.3,0.594,-24.4
0.0405,-1.963836E-05,0.30375,-0.9763184,0.30375,0.09179688,0.30375,0.2275391,0.30375,0.2442748,0.30375,2.152672,0.30375,0.8473282,0.6075,-21.3,0.6075,-135.1,0.6075,-24.4
0.0414,-3.37377E-05,0.3105,-0.9741211,0.3105,0.09155273,0.3105,0.2236328,0.3105,0.1679389,0.3105,2,0.3105,0.8167939,0.621,-21.7,0.621,-134.9,0.621,-24.7
0.0423,-1.997406E-05,0.31725,-0.9733887,0.31725,0.09399414,0.31725,0.2329102,0.31725,0.1603053,0.31725,2.099237,0.31725,1.038168,0.6345,-21.5,0.6345,-135.2,0.6345,-24.1
0.0432,-2.652018E-05,0.324,-0.9777832,0.324,0.09204102,0.324,0.2272949,0.324,0.3358779,0.324,2.274809,0.324,0.9389313,0.648,-21.4,0.648,-135,0.648,-23.8
0.0441,-9.063859E-06,0.33075,-0.9863281,0.33075,0.09765625,0.33075,0.2199707,0.33075,-0.01526718,0.33075,2.129771,0.33075,0.740458,0.6615,-21.4,0.6615,-135.1,0.6615,-24
0.045,-2.433814E-05,0.3375,-0.9716797,0.3375,0.09521484,0.3375,0.2211914,0.3375,0.1603053,0.3375,2.137405,0.3375,1.038168,0.675,-21.2,0.675,-135,0.675,-22.1
0.0459,-1.947051E-05,0.34425,-0.9763184,0.34425,0.09545898,0.34425,0.2219238,0.34425,0.02290076,0.34425,2.244275,0.34425,0.8625954,0.6885,-21.6,0.6885,-134.4,0.6885,-23.8
0.0468,-1.393149E-05,0.351,-0.9763184,0.351,0.09204102,0.351,0.2167969,0.351,0.09160306,0.351,2.358779,0.351,0.9847328,0.702,-21.1,0.702,-135.2,0.702,-24.1
0.0477,-1.812772E-05,0.35775,-0.980957,0.35775,0.09594727,0.35775,0.2177734,0.35775,0.1603053,0.35775,2.396947,0.35775,0.961832,0.7155,-21.5,0.7155,-136.3,0.7155,-23.7
0.0486,-1.762417E-05,0.3645,-0.9785156,0.3645,0.09667969,0.3645,0.21875,0.3645,0.1908397,0.3645,2.290076,0.3645,0.908397,0.729,-21.7,0.729,-135.3,0.729,-22.8
0.0495,-3.508049E-05,0.37125,-0.9775391,0.37125,0.09375,0.37125,0.2280273,0.37125,0.03816794,0.37125,2.198473,0.37125,0.9236641,0.7425,-21.5,0.7425,-135.5,0.7425,-24
0.0504,-8.224613E-06,0.378,-0.9841309,0.378,0.09155273,0.378,0.2180176,0.378,-0.07633588,0.378,2.358779,0.378,0.9923664,0.756,-21.1,0.756,-135.7,0.756,-23.8
