X[s],"Trigno IM sensor 11: EMG 11 (IM)",X[s],"Trigno IM sensor 11: ACC X 11 (IM)",X[s],"Trigno IM sensor 11: ACC Y 11 (IM)",X[s],"Trigno IM sensor 11: ACC Z 11 (IM)",X[s],"Trigno IM sensor 11: Gyro X 11 (IM)",X[s],"Trigno IM sensor 11: Gyro Y 11 (IM)",X[s],"Trigno IM sensor 11: Gyro Z 11 (IM)",X[s],"Trigno IM sensor 11: Mag X 11 (IM)",X[s],"Trigno IM sensor 11: Mag Y 11 (IM)",X[s],"Trigno IM sensor 11: Mag Z 11 (IM)",X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)"
0.0126,0,0.0945,-0.197998,0.0945,-0.8371582,0.0945,-0.2226563,0.0945,-20.81679,0.0945,-37.17557,0.0945,34.14504,0.189,-45.1,0.189,-125.2,0.189,22.1,0.0126,0,0.0945,0.1020508,0.0945,-0.4172363,0.0945,-0.1337891,0.0945,-9.702291,0.0945,41.73283,0.0945,23.76336,0.189,17.5,0.189,35.9,0.189,-285.1
0.0135,0,0.10125,-0.1196289,0.10125,-0.8413086,0.10125,-0.2490234,0.10125,-22.09924,0.10125,-32.07634,0.10125,32.9313,0.2025,-45.9,0.2025,-124.8,0.2025,21.3,0.0135,0,0.10125,0.1315918,0.10125,-0.4003906,0.10125,0.08691406,0.10125,-13.12977,0.10125,35.78626,0.10125,45.24427,0.2025,18.2,0.2025,37.6,0.2025,-284.6
0.0144,0,0.108,-0.0534668,0.108,-0.8413086,0.108,-0.2663574,0.108,-19.81679,0.108,-29.70992,0.108,30.0687,0.216,-46.1,0.216,-124.8,0.216,21.1,0.0144,0,0.108,0.2570801,0.108,-0.3759766,0.108,0.2468262,0.108,-9.335877,0.108,13.78626,0.108,57.9771,0.216,19.2,0.216,38.5,0.216,-283.6
0.0153,0,0.11475,-0.08203125,0.11475,-0.8259277,0.11475,-0.2680664,0.11475,-17.16794,0.11475,-20.55725,0.11475,29.64886,0.2295,-46.5,0.2295,-124.9,0.2295,21.9,0.0153,0,0.11475,0.4023438,0.11475,-0.3913574,0.11475,0.1845703,0.11475,-2.022901,0.11475,-13.83969,0.11475,64.28244,0.2295,20.2,0.2295,40.8,0.2295,-283.7
0.0162,0,0.1215,-0.142334,0.1215,-0.7807617,0.1215,-0.2910156,0.1215,-18.36641,0.1215,-9.633588,0.1215,30.24427,0.243,-47.4,0.243,-124.9,0.243,21.3,0.0162,0,0.1215,0.5039063,0.1215,-0.4418945,0.1215,0.06225586,0.1215,1.381679,0.1215,-15.01527,0.1215,67.10687,0.243,21.4,0.243,41.7,0.243,-283.9
0.0171,0,0.12825,-0.1972656,0.12825,-0.7463379,0.12825,-0.3203125,0.12825,-17.68702,0.12825,-8.022901,0.12825,31.61832,0.2565,-48.3,0.2565,-125,0.2565,20.9,0.0171,0,0.12825,0.5771484,0.12825,-0.5036621,0.12825,-0.01879883,0.12825,-3.061069,0.12825,2.89313,0.12825,70.9313,0.2565,23.6,0.2565,43.3,0.2565,-281.2
0.018,0,0.135,-0.2678223,0.135,-0.7443848,0.135,-0.2800293,0.135,-18.35878,0.135,-0.9312977,0.135,33.85496,0.27,-49,0.27,-125.4,0.27,22.4,0.018,0,0.135,0.578125,0.135,-0.5649414,0.135,0.003173828,0.135,-7.61832,0.135,26.66412,0.135,78.35114,0.27,25,0.27,44.3,0.27,-280.8
0.0189,0,0.14175,-0.3088379,0.14175,-0.734375,0.14175,-0.2629395,0.14175,-17.22137,0.14175,-3.038168,0.14175,35.36641,0.2835,-49.5,0.2835,-124.3,0.2835,22.3,0.0189,0,0.14175,0.5021973,0.14175,-0.6103516,0.14175,0.157959,0.14175,-7.793893,0.14175,44.24427,0.14175,90.0687,0.2835,28.5,0.2835,46.1,0.2835,-280.7
0.0198,0,0.1485,-0.328125,0.1485,-0.7529297,0.1485,-0.2905273,0.1485,-12.71756,0.1485,-2.80916,0.1485,35.60305,0.297,-50.3,0.297,-124.9,0.297,20.1,0.0198,0,0.1485,0.4165039,0.1485,-0.6293945,0.1485,0.2341309,0.1485,-3.671756,0.1485,36.83206,0.1485,100.8779,0.297,29.6,0.297,46.4,0.297,-280.5
0.0207,0,0.15525,-0.3291016,0.15525,-0.7565918,0.15525,-0.293457,0.15525,-12.37405,0.15525,1.549618,0.15525,34.43512,0.3105,-50.5,0.3105,-124.3,0.3105,20.6,0.0207,0,0.15525,0.2954102,0.15525,-0.6376953,0.15525,0.2336426,0.15525,7.076336,0.15525,5.396946,0.15525,113.7099,0.3105,31.5,0.3105,47,0.3105,-280.3
0.0216,0,0.162,-0.3708496,0.162,-0.7512207,0.162,-0.2687988,0.162,-10.25954,0.162,3.167939,0.162,33.28244,0.324,-51.5,0.324,-124.7,0.324,19.4,0.0216,0,0.162,0.2285156,0.162,-0.6220703,0.162,0.2248535,0.162,17.8855,0.162,-25.1145,0.162,123.6718,0.324,33.5,0.324,48.1,0.324,-279.5
0.0225,0,0.16875,-0.3659668,0.16875,-0.7436523,0.16875,-0.3432617,0.16875,-8.40458,0.16875,7.961832,0.16875,32.48855,0.3375,-51.4,0.3375,-124.5,0.3375,20.9,0.0225,0,0.16875,0.2358398,0.16875,-0.6159668,0.16875,0.2072754,0.16875,23.18321,0.16875,-48.61832,0.16875,132.0534,0.3375,35.3,0.3375,48.9,0.3375,-279.3
0.0234,0,0.1755,-0.3886719,0.1755,-0.7536621,0.1755,-0.3444824,0.1755,-7.534351,0.1755,7.572519,0.1755,31.81679,0.351,-52,0.351,-124.4,0.351,19.6,0.0234,0,0.1755,0.2844238,0.1755,-0.6293945,0.1755,0.1687012,0.1755,27.0687,0.1755,-69.8855,0.1755,139.5114,0.351,37.2,0.351,48.7,0.351,-277.8
0.0243,0,0.18225,-0.4267578,0.18225,-0.7580566,0.18225,-0.3039551,0.18225,-5.343512,0.18225,3.083969,0.18225,30.96947,0.3645,-53,0.3645,-124.9,0.3645,20.1,0.0243,0,0.18225,0.3481445,0.18225,-0.6699219,0.18225,0.1047363,0.18225,32.49618,0.18225,-85.25191,0.18225,147.0611,0.3645,39.3,0.3645,49.5,0.3645,-277.6
0.0252,0,0.189,-0.4223633,0.189,-0.7556152,0.189,-0.3530273,0.189,-5.358778,0.189,-1.610687,0.189,30.25954,0.378,-54,0.378,-124.9,0.378,19.8,0.0252,0,0.189,0.4182129,0.189,-0.7246094,0.189,0.02661133,0.189,35.86259,0.189,-85.59542,0.189,154.626,0.378,41,0.378,49.8,0.378,-278.5
0.0261,0,0.19575,-0.4057617,0.19575,-0.762207,0.19575,-0.3300781,0.19575,-4.816794,0.19575,-7.259542,0.19575,28.82443,0.3915,-54.1,0.3915,-124.6,0.3915,18.1,0.0261,0,0.19575,0.4331055,0.19575,-0.7453613,0.19575,-0.0246582,0.19575,38.86259,0.19575,-77.0458,0.19575,161.9618,0.3915,42.3,0.3915,49.3,0.3915,-278.8
0.027,0,0.2025,-0.3598633,0.2025,-0.7641602,0.2025,-0.3046875,0.2025,-5.343512,0.2025,-7.694656,0.2025,26.34351,0.405,-55.2,0.405,-124.6,0.405,16.8,0.027,0,0.2025,0.4509277,0.2025,-0.7407227,0.2025,-0.03881836,0.2025,39.73283,0.2025,-67.93893,0.2025,169.5496,0.405,44.2,0.405,49.8,0.405,-276.6
0.0279,0,0.20925,-0.2597656,0.20925,-0.7805176,0.20925,-0.3693848,0.20925,-4.877862,0.20925,-7.183206,0.20925,22.69466,0.4185,-55.4,0.4185,-124.8,0.4185,17.5,0.0279,0,0.20925,0.4775391,0.20925,-0.7348633,0.20925,-0.01464844,0.20925,41.09924,0.20925,-66.77863,0.20925,178.2137,0.4185,45.2,0.4185,50.1,0.4185,-276.8
