X[s],"Trigno IM sensor 13: EMG 13 (IM)",X[s],"Trigno IM sensor 13: ACC X 13 (IM)",X[s],"Trigno IM sensor 13: ACC Y 13 (IM)",X[s],"Trigno IM sensor 13: ACC Z 13 (IM)",X[s],"Trigno IM sensor 13: Gyro X 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Y 13 (IM)",X[s],"Trigno IM sensor 13: Gyro Z 13 (IM)",X[s],"Trigno IM sensor 13: Mag X 13 (IM)",X[s],"Trigno IM sensor 13: Mag Y 13 (IM)",X[s],"Trigno IM sensor 13: Mag Z 13 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-44.5,0.0135,-68.1,0.0135,-20.6
0.0018,0,0.0135,0.9660645,0.0135,0.3325195,0.0135,-0.09863281,0.0135,-0.4274809,0.0135,0.1984733,0.0135,0.5267175,0.027,-44,0.027,-68,0.027,-20.6
0.0027,0,0.02025,0.9660645,0.02025,0.3359375,0.02025,-0.1074219,0.02025,-0.129771,0.02025,-0.1526718,0.02025,0.4427481,0.0405,-44.6,0.0405,-68.6,0.0405,-19.3
0.0036,0,0.027,0.9707031,0.027,0.3393555,0.027,-0.1057129,0.027,-0.06870229,0.027,-0.1603053,0.027,0.519084,0.054,-44.3,0.054,-68.3,0.054,-20.6
0.0045,0,0.03375,0.9743652,0.03375,0.338623,0.03375,-0.09985352,0.03375,0.1603053,0.03375,0.05343511,0.03375,0.2290076,0.0675,-44.2,0.0675,-68.1,0.0675,-20.4
0.0054,0,0.0405,0.9707031,0.0405,0.3330078,0.0405,-0.1052246,0.0405,0.221374,0.0405,0.1526718,0.0405,0.4732825,0.081,-44.4,0.081,-68.8,0.081,-20
0.0063,0,0.04725,0.9753418,0.04725,0.338623,0.04725,-0.09643555,0.04725,0.2824427,0.04725,0.4961832,0.04725,0.351145,0.0945,-44.4,0.0945,-68.9,0.0945,-20.4
0.0072,0,0.054,0.9731445,0.054,0.3342285,0.054,-0.1164551,0.054,-0.007633588,0.054,0.3587786,0.054,0.259542,0.108,-44.5,0.108,-68.4,0.108,-19.8
0.0081,0,0.06075,0.9760742,0.06075,0.3261719,0.06075,-0.1091309,0.06075,0.05343511,0.06075,0.4732825,0.06075,0.1832061,0.1215,-44.4,0.1215,-68.6,0.1215,-20.6
0.009000001,0,0.0675,0.973877,0.0675,0.3317871,0.0675,-0.1120605,0.0675,0.9236641,0.0675,0.5038168,0.0675,-0.007633588,0.135,-44.4,0.135,-68.5,0.135,-19.8
0.0099,0,0.07425,0.9682617,0.07425,0.333252,0.07425,-0.1118164,0.07425,-0.07633588,0.07425,0.8167939,0.07425,-0.259542,0.1485,-44.3,0.1485,-69,0.1485,-19.9
0.0108,0,0.081,0.9760742,0.081,0.3310547,0.081,-0.1079102,0.081,0.2366412,0.081,0.9847328,0.081,-0.351145,0.162,-44.6,0.162,-69.1,0.162,-20.4
0.0117,0,0.08775,0.9719238,0.08775,0.3322754,0.08775,-0.1049805,0.08775,0.9312977,0.08775,0.7251908,0.08775,-0.4885496,0.1755,-45,0.1755,-68.2,0.1755,-20.4
0.0126,0,0.0945,0.9760742,0.0945,0.3349609,0.0945,-0.1000977,0.0945,0.2137405,0.0945,0.8167939,0.0945,-0.4656489,0.189,-44.6,0.189,-68.7,0.189,-20.4
0.0135,-1.15816E-05,0.10125,0.9719238,0.10125,0.3393555,0.10125,-0.09960938,0.10125,0.4732825,0.10125,0.8091603,0.10125,-0.6412213,0.2025,-44.8,0.2025,-68.7,0.2025,-20.6
0.0144,-1.426719E-05,0.108,0.9699707,0.108,0.3466797,0.108,-0.1030273,0.108,-0.1984733,0.108,1,0.108,-0.4961832,0.216,-44.1,0.216,-69.2,0.216,-19.8
0.0153,7.888914E-06,0.11475,0.9702148,0.11475,0.3369141,0.11475,-0.09692383,0.11475,0.04580153,0.11475,1.022901,0.11475,-0.5267175,0.2295,-44.5,0.2295,-68,0.2295,-18.8
0.0162,3.40734E-05,0.1215,0.9658203,0.1215,0.3305664,0.1215,-0.09472656,0.1215,0.3358779,0.1215,0.9236641,0.1215,-0.5877863,0.243,-44.7,0.243,-67.8,0.243,-21.2
0.0171,1.661708E-05,0.12825,0.9643555,0.12825,0.3425293,0.12825,-0.1013184,0.12825,0.519084,0.12825,0.7633588,0.12825,-0.5343512,0.2565,-45.1,0.2565,-68.5,0.2565,-20.9
0.018,1.980621E-05,0.135,0.9724121,0.135,0.3320313,0.135,-0.1020508,0.135,0.351145,0.135,1,0.135,-0.7480916,0.27,-45.3,0.27,-67.7,0.27,-20.1
0.0189,6.71397E-06,0.14175,0.9689941,0.14175,0.3413086,0.14175,-0.1049805,0.14175,0.4198473,0.14175,0.9694657,0.14175,-0.7175573,0.2835,-45.2,0.2835,-68.2,0.2835,-19.3
0.0198,-4.699778E-06,0.1485,0.9694824,0.1485,0.3417969,0.1485,-0.1088867,0.1485,0.3282443,0.1485,1.030534,0.1485,-0.6564885,0.297,-45.3,0.297,-68.5,0.297,-19.8
0.0207,-1.678492E-07,0.15525,0.972168,0.15525,0.3395996,0.15525,-0.1035156,0.15525,0.007633588,0.15525,0.9847328,0.15525,-0.5801527,0.3105,-45.4,0.3105,-68.3,0.3105,-19.1
0.0216,-1.074235E-05,0.162,0.96875,0.162,0.3334961,0.162,-0.1125488,0.162,0.007633588,0.162,0.9694657,0.162,-0.4122137,0.324,-45.4,0.324,-68.6,0.324,-19
0.0225,-4.045167E-05,0.16875,0.9677734,0.16875,0.3359375,0.16875,-0.1037598,0.16875,0.4503817,0.16875,0.7938932,0.16875,-0.3587786,0.3375,-44.8,0.3375,-68.2,0.3375,-20.4
0.0234,-2.450599E-05,0.1755,0.9609375,0.1755,0.34375,0.1755,-0.104248,0.1755,0.08396947,0.1755,0.9923664,0.1755,-0.2748092,0.351,-45.1,0.351,-68.1,0.351,-19.1
0.0243,-5.203327E-05,0.18225,0.9719238,0.18225,0.3435059,0.18225,-0.09008789,0.18225,-0.4274809,0.18225,0.870229,0.18225,-0.1068702,0.3645,-45.2,0.3645,-68,0.3645,-19.1
0.0252,-4.582285E-05,0.189,0.9621582,0.189,0.3444824,0.189,-0.1008301,0.189,-0.5419847,0.189,0.8091603,0.189,0.2900763,0.378,-45.2,0.378,-68.2,0.378,-20.5
0.0261,-3.054856E-05,0.19575,0.9641113,0.19575,0.3410645,0.19575,-0.1103516,0.19575,-0.5572519,0.19575,0.740458,0.19575,0.5343512,0.3915,-45,0.3915,-68.4,0.3915,-19.1
0.027,-1.493858E-05,0.2025,0.9677734,0.2025,0.3447266,0.2025,-0.1069336,0.2025,-0.5038168,0.2025,0.8015267,0.2025,0.7862595,0.405,-44.9,0.405,-68.4,0.405,-18.6
