X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.0117,0,0.08775,-1.186768,0.08775,0.1335449,0.08775,0.07714844,0.08775,-9.679389,0.08775,-5.259542,0.08775,18,0.1755,-25.7,0.1755,-96.4,0.1755,-10.4,0.0117,0,0.08775,1.706787,0.08775,0.2963867,0.08775,0.3752441,0.08775,10.37405,0.08775,-42.51908,0.08775,250.1298,0.1755,41.8,0.1755,9.7,0.1755,-248.8
0.0126,0,0.0945,-1.04248,0.0945,0.1638184,0.0945,0.08056641,0.0945,-12.83969,0.0945,-7.519084,0.0945,20.16031,0.189,-25.8,0.189,-96.4,0.189,-9,0.0126,0,0.0945,1.746094,0.0945,0.3527832,0.0945,0.3244629,0.0945,24.87023,0.0945,-23.09924,0.0945,250.1298,0.189,41.1,0.189,9.7,0.189,-247.4
0.0135,-8.610666E-05,0.10125,-1.040527,0.10125,0.1125488,0.10125,0.0847168,0.10125,-12.76336,0.10125,-4.312977,0.10125,20.80916,0.2025,-25.4,0.2025,-97,0.2025,-8.4,0.0135,0.0001267262,0.10125,1.717041,0.10125,0.4208984,0.10125,0.2929688,0.10125,36.22137,0.10125,-6.259542,0.10125,250.1298,0.2025,40.7,0.2025,9.6,0.2025,-245.9
0.0144,-0.0001087663,0.108,-1.049316,0.108,0.1464844,0.108,-0.004638672,0.108,-12.72519,0.108,-12.9084,0.108,21.45038,0.216,-25.1,0.216,-96.5,0.216,-9.1,0.0144,0.000114641,0.108,1.631104,0.108,0.4921875,0.108,0.2600098,0.108,46.0229,0.108,2.755725,0.108,250.1298,0.216,40.6,0.216,9.5,0.216,-244.6
0.0153,-7.87213E-05,0.11475,-1.04126,0.11475,0.182373,0.11475,0.1188965,0.11475,-11.31298,0.11475,-13.05344,0.11475,22.09924,0.2295,-25.4,0.2295,-96.7,0.2295,-7.1,0.0153,0.0001723812,0.11475,1.573486,0.11475,0.5629883,0.11475,0.2397461,0.11475,52.74809,0.11475,2.89313,0.11475,250.1298,0.2295,40.7,0.2295,9.8,0.2295,-244.7
0.0162,-6.294347E-05,0.1215,-1.082031,0.1215,0.1755371,0.1215,0.09667969,0.1215,-10.0229,0.1215,-14.19847,0.1215,23.25954,0.243,-25.9,0.243,-97.5,0.243,-6,0.0162,0.0001686885,0.1215,1.529053,0.1215,0.6259766,0.1215,0.1870117,0.1215,58.77099,0.1215,-2.450382,0.1215,250.1298,0.243,39.8,0.243,10,0.243,-244.3
0.0171,-7.721066E-05,0.12825,-1.135254,0.12825,0.145752,0.12825,0.1706543,0.12825,-12.51908,0.12825,-12.87786,0.12825,25.03817,0.2565,-25.8,0.2565,-97.2,0.2565,-7.5,0.0171,9.517052E-05,0.12825,1.518066,0.12825,0.65625,0.12825,0.151123,0.12825,63.74809,0.12825,-11.61832,0.12825,250.1298,0.2565,39.4,0.2565,10.7,0.2565,-244.8
0.018,-0.000103563,0.135,-1.232178,0.135,0.09082031,0.135,0.1872559,0.135,-4.671756,0.135,8.923664,0.135,30.43511,0.27,-25.9,0.27,-97.8,0.27,-6.5,0.018,0.0001015488,0.135,1.513184,0.135,0.6665039,0.135,0.1091309,0.135,67.60305,0.135,-23.12214,0.135,250.1298,0.27,39.6,0.27,10.2,0.27,-243.3
0.0189,-7.183947E-05,0.14175,-1.049072,0.14175,0.1901855,0.14175,0.1186523,0.14175,-4.992366,0.14175,-0.3969466,0.14175,33.96947,0.2835,-26.3,0.2835,-97.9,0.2835,-7.7,0.0189,0.0001388113,0.14175,1.528076,0.14175,0.6772461,0.14175,0.09985352,0.14175,70.86259,0.14175,-33.64122,0.14175,250.1298,0.2835,39.2,0.2835,9.7,0.2835,-244.1
0.0198,-3.675898E-05,0.1485,-1.018799,0.1485,0.1796875,0.1485,0.1538086,0.1485,-3.908397,0.1485,8.015267,0.1485,34.20611,0.297,-27.4,0.297,-98.2,0.297,-7.1,0.0198,0.0001045701,0.1485,1.540039,0.1485,0.6901855,0.1485,0.08789063,0.1485,73.59542,0.1485,-47.32824,0.1485,250.1298,0.297,38.9,0.297,9.4,0.297,-242.3
0.0207,2.635233E-05,0.15525,-1.105469,0.15525,0.1159668,0.15525,0.07202148,0.15525,-5.992366,0.15525,9.389313,0.15525,35.37405,0.3105,-27.9,0.3105,-99.3,0.3105,-6.4,0.0207,9.785611E-05,0.15525,1.577637,0.15525,0.7180176,0.15525,0.09936523,0.15525,75.13741,0.15525,-59.96947,0.15525,250.1298,0.3105,39.2,0.3105,9.2,0.3105,-242.8
0.0216,-1.309224E-05,0.162,-1.118408,0.162,0.1550293,0.162,0.08300781,0.162,-0.7938932,0.162,5.931298,0.162,38.0229,0.324,-29,0.324,-99.7,0.324,-6.7,0.0216,0.0001334401,0.162,1.628418,0.162,0.7443848,0.162,0.08007813,0.162,74.89313,0.162,-69.0687,0.162,245.145,0.324,39.2,0.324,8.2,0.324,-243.4
0.0225,6.042573E-06,0.16875,-1.108398,0.16875,0.1713867,0.16875,0.03930664,0.16875,-3.633588,0.16875,5.129771,0.16875,40.9313,0.3375,-30,0.3375,-99.6,0.3375,-6.1,0.0225,0.0001435111,0.16875,1.659912,0.16875,0.7976074,0.16875,0.08935547,0.16875,73.51145,0.16875,-75.229,0.16875,238.9084,0.3375,39.6,0.3375,7.9,0.3375,-244.6
0.0234,4.649424E-05,0.1755,-1.142578,0.1755,0.1733398,0.1755,0.03222656,0.1755,-3.877863,0.1755,5.206107,0.1755,43.57252,0.351,-30.8,0.351,-99.5,0.351,-5.2,0.0234,5.975433E-05,0.1755,1.716064,0.1755,0.8620605,0.1755,0.05322266,0.1755,69.41222,0.1755,-80.00764,0.1755,231.9924,0.351,39.3,0.351,8.3,0.351,-245
