X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.0126,0,0.0945,-1.037842,0.0945,0.2932129,0.0945,0.1079102,0.0945,7.21374,0.0945,-12.20611,0.0945,63.1145,0.189,-27.2,0.189,-97.3,0.189,-10.6,0.0126,0,0.0945,1.597412,0.0945,0.9609375,0.0945,0.03369141,0.0945,55.73283,0.0945,-67.49619,0.0945,178.5496,0.189,43.6,0.189,11.5,0.189,-237.9
0.0135,0,0.10125,-1.082031,0.10125,0.2512207,0.10125,0.1062012,0.10125,10.16031,0.10125,-1.175573,0.10125,64.90839,0.2025,-28.5,0.2025,-97.3,0.2025,-10.9,0.0135,0,0.10125,1.508789,0.10125,1.013916,0.10125,0.06445313,0.10125,48.59542,0.10125,-73.41222,0.10125,168.4275,0.2025,42,0.2025,11.3,0.2025,-238.1
0.0144,0,0.108,-1.107178,0.108,0.2788086,0.108,0.1499023,0.108,15.10687,0.108,-6.61832,0.108,68.51145,0.216,-29,0.216,-97.6,0.216,-10.3,0.0144,0,0.108,1.419678,0.108,1.063477,0.108,0.1115723,0.108,40.37405,0.108,-81.27481,0.108,159.3588,0.216,41.8,0.216,12.4,0.216,-238.9
0.0153,0,0.11475,-1.0896,0.11475,0.2929688,0.11475,0.03198242,0.11475,14.52672,0.11475,-3.122137,0.11475,70.79389,0.2295,-29.5,0.2295,-97.6,0.2295,-10.5,0.0153,0,0.11475,1.356201,0.11475,1.084717,0.11475,0.1062012,0.11475,31.51908,0.11475,-87.28244,0.11475,151.6565,0.2295,40.3,0.2295,13.5,0.2295,-240.5
0.0162,0,0.1215,-1.106201,0.1215,0.2321777,0.1215,0.03344727,0.1215,15.29008,0.1215,0.5572519,0.1215,73.37405,0.243,-29.5,0.243,-97.7,0.243,-10.5,0.0162,0,0.1215,1.273193,0.1215,1.193848,0.1215,0.1171875,0.1215,22.67939,0.1215,-89.41985,0.1215,141.9466,0.243,38.8,0.243,13.1,0.243,-237.5
0.0171,0,0.12825,-1.13208,0.12825,0.3276367,0.12825,0.07202148,0.12825,21.14504,0.12825,-3.778626,0.12825,78.50381,0.2565,-30.7,0.2565,-98.7,0.2565,-9.7,0.0171,0,0.12825,1.223389,0.12825,1.403076,0.12825,0.2670898,0.12825,9.893129,0.12825,-104.0153,0.12825,133.374,0.2565,36.9,0.2565,13.4,0.2565,-240.3
0.018,0,0.135,-1.105957,0.135,0.2607422,0.135,-0.01611328,0.135,13.20611,0.135,-2.938931,0.135,79.15267,0.27,-31.4,0.27,-98.3,0.27,-8.9,0.018,0,0.135,1.305664,0.135,1.554688,0.135,0.1887207,0.135,-1.580153,0.135,-109.4885,0.135,124.8779,0.27,35.5,0.27,14.4,0.27,-240.3
0.0189,0,0.14175,-1.144531,0.14175,0.2902832,0.14175,0.07543945,0.14175,20.92366,0.14175,0.389313,0.14175,84.12214,0.2835,-32.2,0.2835,-98.4,0.2835,-9.9,0.0189,0,0.14175,1.38501,0.14175,1.695557,0.14175,0.2214355,0.14175,-14.55725,0.14175,-105.6107,0.14175,112.7023,0.2835,35.5,0.2835,15,0.2835,-242.1
0.0198,0,0.1485,-1.140381,0.1485,0.3154297,0.1485,0.04833984,0.1485,20.41985,0.1485,-6.580153,0.1485,87.89313,0.297,-32.7,0.297,-98.8,0.297,-8.9,0.0198,0,0.1485,1.452393,0.1485,1.821533,0.1485,0.2441406,0.1485,-26.16794,0.1485,-97.26717,0.1485,96.30534,0.297,35.6,0.297,15.8,0.297,-241.5
0.0207,0,0.15525,-1.157471,0.15525,0.3117676,0.15525,-0.04125977,0.15525,16.74046,0.15525,-3.083969,0.15525,91.21374,0.3105,-32.5,0.3105,-98.6,0.3105,-9.5,0.0207,0,0.15525,1.424316,0.15525,1.910889,0.15525,0.2958984,0.15525,-36.99237,0.15525,-84.17558,0.15525,75.9542,0.3105,35.6,0.3105,16.3,0.3105,-240.4
