X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.0126,0,0.0945,0.2802734,0.0945,4.482422,0.0945,0.7353516,0.0945,-3.506098,0.0945,-0.5792683,0.0945,1.890244,0.189,-52.6,0.189,-100.6,0.189,1.7,0.0126,0,0.0945,0.1315918,0.0945,0.9990234,0.0945,0.1230469,0.0945,2.713415,0.0945,-4.268293,0.0945,0.2743903,0.189,35.4,0.189,25.6,0.189,-275.4
0.0135,0,0.10125,0.3017578,0.10125,4.5,0.10125,0.7597656,0.10125,-2.378049,0.10125,-0.7926829,0.10125,1.341463,0.2025,-52.7,0.2025,-100.2,0.2025,2.2,0.0135,0,0.10125,0.1325684,0.10125,0.9956055,0.10125,0.1276855,0.10125,2.804878,0.10125,-3.810976,0.10125,0.152439,0.2025,35.9,0.2025,25.2,0.2025,-276.9
0.0144,0,0.108,0.2773438,0.108,4.481445,0.108,0.7568359,0.108,-1.067073,0.108,-1.25,0.108,0.8536586,0.216,-52.4,0.216,-100.5,0.216,1.6,0.0144,0,0.108,0.1320801,0.108,0.9953613,0.108,0.1291504,0.108,2.621951,0.108,-3.719512,0.108,0.1219512,0.216,35.6,0.216,24.8,0.216,-275.3
0.0153,0,0.11475,0.2939453,0.11475,4.493164,0.11475,0.7685547,0.11475,-0.5792683,0.11475,-1.95122,0.11475,0.9451219,0.2295,-52.3,0.2295,-100.5,0.2295,1.9,0.0153,0,0.11475,0.1333008,0.11475,0.9946289,0.11475,0.1289063,0.11475,2.77439,0.11475,-3.47561,0.11475,-0.03048781,0.2295,35.9,0.2295,25.5,0.2295,-275.8
0.0162,0,0.1215,0.3232422,0.1215,4.469727,0.1215,0.7685547,0.1215,0.4268293,0.1215,-1.95122,0.1215,0.6402439,0.243,-52.5,0.243,-100.6,0.243,2.2,0.0162,0,0.1215,0.1391602,0.1215,0.9978027,0.1215,0.135498,0.1215,2.652439,0.1215,-3.506098,0.1215,0.3353659,0.243,35.6,0.243,25.1,0.243,-276.2
0.0171,0,0.12825,0.3066406,0.12825,4.474609,0.12825,0.7705078,0.12825,-0.09146342,0.12825,-1.585366,0.12825,0.2743903,0.2565,-52.6,0.2565,-100.6,0.2565,2,0.0171,0,0.12825,0.1401367,0.12825,0.9941406,0.12825,0.1320801,0.12825,2.682927,0.12825,-3.47561,0.12825,0.152439,0.2565,35,0.2565,25.7,0.2565,-273.9
0.018,0,0.135,0.3164063,0.135,4.447266,0.135,0.7617188,0.135,-2.317073,0.135,-0.6707317,0.135,0.5487805,0.27,-52.1,0.27,-100.8,0.27,1.7,0.018,0,0.135,0.1425781,0.135,1.001709,0.135,0.1318359,0.135,2.804878,0.135,-3.567073,0.135,0.2439024,0.27,35.4,0.27,25.2,0.27,-274.6
0.0189,0,0.14175,0.3261719,0.14175,4.476563,0.14175,0.8046875,0.14175,-1.890244,0.14175,-0.6097561,0.14175,1.036585,0.2835,-52.5,0.2835,-100.6,0.2835,2.8,0.0189,0,0.14175,0.1376953,0.14175,0.9978027,0.14175,0.1325684,0.14175,2.926829,0.14175,-3.597561,0.14175,0.2439024,0.2835,35.4,0.2835,25.3,0.2835,-275.8
0.0198,0,0.1485,0.3232422,0.1485,4.466797,0.1485,0.7314453,0.1485,-2.77439,0.1485,-0.03048781,0.1485,1.371951,0.297,-52.2,0.297,-100.7,0.297,1.2,0.0198,0,0.1485,0.1376953,0.1485,1.000732,0.1485,0.1320801,0.1485,3.109756,0.1485,-3.902439,0.1485,0.4268293,0.297,35.6,0.297,25.3,0.297,-275.2
0.0207,0,0.15525,0.3007813,0.15525,4.485352,0.15525,0.7685547,0.15525,-2.926829,0.15525,0.5182927,0.15525,1.95122,0.3105,-52.8,0.3105,-100.4,0.3105,1.9,0.0207,0,0.15525,0.1362305,0.15525,0.9931641,0.15525,0.1274414,0.15525,2.77439,0.15525,-3.932927,0.15525,0.3658537,0.3105,35.9,0.3105,25.4,0.3105,-276.2
