X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,0,0.0135,0,0.0135,0
0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,0,0.027,0,0.027,0,0.0018,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.0135,0,0.027,30.2,0.027,19,0.027,-237.7
0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,0,0.0405,0,0.0405,0,0.0027,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.02025,0,0.0405,29.6,0.0405,19.1,0.0405,-238.3
0.0036,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.027,0,0.054,0,0.054,0,0.054,0,0.0036,0,0.027,-0.002929688,0.027,0.9462891,0.027,1.859375,0.027,100.7939,0.027,250.1298,0.027,-55.92366,0.054,28.8,0.054,19.4,0.054,-239.9
0.0045,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.03375,0,0.0675,0,0.0675,0,0.0675,0,0.0045,0,0.03375,0.4968262,0.03375,0.03149414,0.03375,1.999939,0.03375,212.6183,0.03375,18.64886,0.03375,-36.19084,0.0675,28.9,0.0675,19.3,0.0675,-238.8
0.0054,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.0405,0,0.081,0,0.081,0,0.081,0,0.0054,0,0.0405,1.079346,0.0405,0.4199219,0.0405,0.3249512,0.0405,-94.61069,0.0405,48.92366,0.0405,12.51908,0.081,29.4,0.081,18.9,0.081,-239.8
0.0063,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.04725,0,0.0945,0,0.0945,0,0.0945,0,0.0063,0,0.04725,1.271973,0.04725,-0.1977539,0.04725,0.3063965,0.04725,0.06870229,0.04725,-73.44275,0.04725,15.83206,0.0945,28.9,0.0945,18.3,0.0945,-238.5
0.0072,0,0.054,0,0.054,0,0.054,0,0.054,0,0.054,0,0.054,0,0.108,0,0.108,0,0.108,0,0.0072,0,0.054,0.5290527,0.054,-0.2407227,0.054,-0.4885254,0.054,5.870229,0.054,28.48092,0.054,-8.534351,0.108,29,0.108,18.2,0.108,-241
0.0081,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.06075,0,0.1215,0,0.1215,0,0.1215,0,0.0081,0,0.06075,1.170166,0.06075,-0.2504883,0.06075,-0.1220703,0.06075,7.305344,0.06075,28.46565,0.06075,-15.35878,0.1215,29,0.1215,18.1,0.1215,-239.3
0.009000001,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.0675,0,0.135,0,0.135,0,0.135,0,0.009000001,0,0.0675,1.106934,0.0675,-0.07666016,0.0675,0.09448242,0.0675,28.12977,0.0675,46.45802,0.0675,-24.22901,0.135,29.2,0.135,17.2,0.135,-240.1
0.0099,0,0.07425,0,0.07425,0,0.07425,0,0.07425,0,0.07425,0,0.07425,0,0.1485,0,0.1485,0,0.1485,0,0.0099,0,0.07425,1.360107,0.07425,-0.08544922,0.07425,-0.2470703,0.07425,54.16794,0.07425,63.84733,0.07425,-29.24427,0.1485,30.4,0.1485,17,0.1485,-241.2
0.0108,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.081,0,0.162,0,0.162,0,0.162,0,0.0108,0,0.081,1.109375,0.081,-0.1955566,0.081,-0.1123047,0.081,29.59542,0.081,70.0229,0.081,-27.55725,0.162,29.9,0.162,16.1,0.162,-241.2
0.0117,0,0.08775,0,0.08775,0,0.08775,0,0.08775,0,0.08775,0,0.08775,0,0.1755,0,0.1755,0,0.1755,0,0.0117,0,0.08775,1.162109,0.08775,0.1201172,0.08775,0.1096191,0.08775,48.45802,0.08775,61.36641,0.08775,-29.45038,0.1755,29.8,0.1755,15.7,0.1755,-241.4
0.0126,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.0945,0,0.189,0,0.189,0,0.189,0,0.0126,0,0.0945,1.051025,0.0945,-0.1472168,0.0945,0.1254883,0.0945,45.79389,0.0945,43.48092,0.0945,-32.30534,0.189,30.2,0.189,15.3,0.189,-243.3
0.0135,0,0.10125,0,0.10125,0,0.10125,0,0.10125,0,0.10125,0,0.10125,0,0.2025,0,0.2025,0,0.2025,0,0.0135,0,0.10125,0.9936523,0.10125,-0.2084961,0.10125,0.3251953,0.10125,10.36641,0.10125,34.89313,0.10125,-25.75573,0.2025,30.8,0.2025,14.9,0.2025,-242.9
0.0144,0,0.108,0,0.108,0,0.108,0,0.108,0,0.108,0,0.108,0,0.216,0,0.216,0,0.216,0,0.0144,0,0.108,1.025146,0.108,0.3190918,0.108,0.2441406,0.108,12.79389,0.108,14.37405,0.108,-24.13741,0.216,31,0.216,15.5,0.216,-243.7
0.0153,0,0.11475,0,0.11475,0,0.11475,0,0.11475,0,0.11475,0,0.11475,0,0.2295,0,0.2295,0,0.2295,0,0.0153,0,0.11475,1.090332,0.11475,-0.05859375,0.11475,0.3212891,0.11475,16.69466,0.11475,8.633588,0.11475,-20.63359,0.2295,31.8,0.2295,14.4,0.2295,-243
0.0162,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.1215,0,0.243,0,0.243,0,0.243,0,0.0162,0,0.1215,1.018799,0.1215,-0.1589355,0.1215,0.3078613,0.1215,-16.28244,0.1215,20.83969,0.1215,-11.60305,0.243,32.1,0.243,14.6,0.243,-244
