X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0,0.000000,0
0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,-19.7,0.0135,-88.8,0.0135,-6.1,0.0009,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.00675,0,0.0135,48.5,0.0135,21.1,0.0135,-247.7
0.0018,0,0.0135,-0.994873,0.0135,0.01074219,0.0135,0.03540039,0.0135,-0.1450382,0.0135,5.38168,0.0135,-0.04580153,0.027,-18.8,0.027,-89.1,0.027,-4.6,0.0018,0,0.0135,1.031494,0.0135,0.01513672,0.0135,0.1069336,0.0135,-2.603053,0.0135,3.473282,0.0135,-3.648855,0.027,48.7,0.027,21.5,0.027,-247.9
0.0027,0,0.02025,-1.010254,0.02025,0.009277344,0.02025,0.03442383,0.02025,-0.2671756,0.02025,5.175572,0.02025,-0.129771,0.0405,-19.9,0.0405,-88.6,0.0405,-4.7,0.0027,0,0.02025,1.036133,0.02025,0.01171875,0.02025,0.1516113,0.02025,-0.4122137,0.02025,4.755725,0.02025,-3.694656,0.0405,48.8,0.0405,21,0.0405,-248
0.0036,0,0.027,-1.005127,0.027,0.0144043,0.027,0.0324707,0.027,-0.3587786,0.027,4.763359,0.027,-0.2824427,0.054,-19.6,0.054,-88.4,0.054,-5.9,0.0036,0,0.027,1.025146,0.027,0.01977539,0.027,0.1357422,0.027,2,0.027,5.664122,0.027,-3.633588,0.054,49.3,0.054,21.8,0.054,-249
0.0045,0,0.03375,-1.007568,0.03375,0.01538086,0.03375,0.02954102,0.03375,-0.4045801,0.03375,4.572519,0.03375,-0.2977099,0.0675,-19.5,0.0675,-88.5,0.0675,-4.9,0.0045,0,0.03375,1.031494,0.03375,0.01489258,0.03375,0.1218262,0.03375,3.946565,0.03375,6.91603,0.03375,-3.396947,0.0675,48.4,0.0675,21.5,0.0675,-247.6
0.0054,0,0.0405,-1.012207,0.0405,0.006591797,0.0405,0.02856445,0.0405,-0.1908397,0.0405,4.206107,0.0405,-0.07633588,0.081,-19.2,0.081,-88.3,0.081,-3.9,0.0054,0,0.0405,1.032471,0.0405,0.02685547,0.0405,0.1628418,0.0405,4.312977,0.0405,6.358778,0.0405,-3.083969,0.081,49.1,0.081,20.9,0.081,-249.5
0.0063,0,0.04725,-1.009766,0.04725,0.006591797,0.04725,0.02661133,0.04725,-0.4732825,0.04725,3.816794,0.04725,-0.09923664,0.0945,-19.7,0.0945,-88.1,0.0945,-6,0.0063,0,0.04725,1.02124,0.04725,0.02563477,0.04725,0.1455078,0.04725,2.694656,0.04725,4.022901,0.04725,-2.625954,0.0945,48.6,0.0945,20.9,0.0945,-247.9
0.0072,0,0.054,-1.015381,0.054,-0.0004882813,0.054,0.01489258,0.054,-1.099237,0.054,3.10687,0.054,-0.01526718,0.108,-19.8,0.108,-88.6,0.108,-5,0.0072,0,0.054,1.046631,0.054,0.01660156,0.054,0.1118164,0.054,2.244275,0.054,2.862595,0.054,-2.29771,0.108,48.3,0.108,21.1,0.108,-248.4
0.0081,0,0.06075,-1.017334,0.06075,0.007568359,0.06075,0.01953125,0.06075,-1.145038,0.06075,3.381679,0.06075,0.2442748,0.1215,-19.5,0.1215,-89,0.1215,-5.9,0.0081,0,0.06075,1.055908,0.06075,0.01611328,0.06075,0.1032715,0.06075,1.717557,0.06075,1.748092,0.06075,-2.274809,0.1215,48.7,0.1215,21.5,0.1215,-247.6
0.009000001,0,0.0675,-1.014404,0.0675,0.0009765625,0.0675,0.01635742,0.0675,-0.480916,0.0675,2.351145,0.0675,0.3816794,0.135,-19.4,0.135,-88.4,0.135,-4.3,0.009000001,0,0.0675,1.046631,0.0675,0.01831055,0.0675,0.1010742,0.0675,2.282443,0.0675,2.167939,0.0675,-2.259542,0.135,48.5,0.135,21.2,0.135,-249.3
0.0099,0,0.07425,-1.022461,0.07425,0.005859375,0.07425,0.02856445,0.07425,-0.5954198,0.07425,1.076336,0.07425,0.7862595,0.1485,-19.2,0.1485,-89,0.1485,-5.9,0.0099,0,0.07425,1.050537,0.07425,0.01611328,0.07425,0.1047363,0.07425,3.274809,0.07425,3.564885,0.07425,-2.29771,0.1485,49.2,0.1485,21,0.1485,-247
0.0108,0,0.081,-1.016357,0.081,0.005615234,0.081,0.01220703,0.081,-1.267176,0.081,-0.9847328,0.081,0.7633588,0.162,-19.6,0.162,-88.7,0.162,-5.3,0.0108,0,0.081,1.03125,0.081,0.02514648,0.081,0.1481934,0.081,3.305344,0.081,2.328244,0.081,-2.015267,0.162,49,0.162,20.6,0.162,-247.1
0.0117,0,0.08775,-1.113281,0.08775,0.01196289,0.08775,-0.0007324219,0.08775,-0.5648855,0.08775,-6.366412,0.08775,0.9770992,0.1755,-19.5,0.1755,-88.3,0.1755,-6,0.0117,0,0.08775,1.028076,0.08775,0.03027344,0.08775,0.15625,0.08775,3.641221,0.08775,3.038168,0.08775,-1.610687,0.1755,48.8,0.1755,21,0.1755,-248.2
0.0126,0,0.0945,-1.049072,0.0945,0.002441406,0.0945,-0.02954102,0.0945,-0.2748092,0.0945,-14.30534,0.0945,1.022901,0.189,-19.4,0.189,-88.4,0.189,-7.5,0.0126,0,0.0945,1.027344,0.0945,0.02319336,0.0945,0.1713867,0.0945,3.587786,0.0945,2.465649,0.0945,-1.267176,0.189,48.6,0.189,21.3,0.189,-249.5
0.0135,1.342794E-06,0.10125,-1.100098,0.10125,0.002441406,0.10125,0.01171875,0.10125,-1.40458,0.10125,-18.46565,0.10125,1.015267,0.2025,-19.8,0.2025,-88.7,0.2025,-6.8,0.0135,1.107805E-05,0.10125,1.026611,0.10125,0.02685547,0.10125,0.15625,0.10125,3.839695,0.10125,2,0.10125,-1.137405,0.2025,48.9,0.2025,20.9,0.2025,-248.7
0.0144,0.0001015488,0.108,-1.106201,0.108,0.002197266,0.108,-0.06689453,0.108,-0.648855,0.108,-24.46565,0.108,-0.1450382,0.216,-20.2,0.216,-88.7,0.216,-6.4,0.0144,6.54612E-06,0.108,1.033203,0.108,0.01660156,0.108,0.1403809,0.108,3.923664,0.108,2.610687,0.108,-1.038168,0.216,48.2,0.216,21.3,0.216,-247.4
0.0153,0.0001032273,0.11475,-1.286133,0.11475,0.01831055,0.11475,-0.02734375,0.11475,-0.610687,0.11475,-31.14504,0.11475,-2.931298,0.2295,-20.5,0.2295,-88.8,0.2295,-8,0.0153,7.385367E-06,0.11475,1.028809,0.11475,0.01538086,0.11475,0.1474609,0.11475,3.389313,0.11475,2.778626,0.11475,-1.236641,0.2295,48.8,0.2295,21.1,0.2295,-248.6
0.0162,8.577096E-05,0.1215,-1.255615,0.1215,0.03857422,0.1215,-0.09106445,0.1215,-3.251908,0.1215,-44.37405,0.1215,-3.618321,0.243,-20.5,0.243,-89.2,0.243,-7.5,0.0162,1.174945E-05,0.1215,1.030518,0.1215,0.01782227,0.1215,0.138916,0.1215,4.21374,0.1215,4.679389,0.1215,-1.923664,0.243,48.4,0.243,21.4,0.243,-249.5
