X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.0117,0,0.08775,0.1889648,0.08775,0.06079102,0.08775,0.9182129,0.08775,-6.938931,0.08775,1.709924,0.08775,-5.022901,0.1755,-19.1,0.1755,-85.1,0.1755,-13.4,0.0117,0,0.08775,0.04223633,0.08775,0.02368164,0.08775,1.07373,0.08775,2.694656,0.08775,-2.068702,0.08775,0.2977099,0.1755,33.2,0.1755,9.2,0.1755,-275.3
0.0126,0,0.0945,0.1901855,0.0945,0.05712891,0.0945,0.9162598,0.0945,-7.030534,0.0945,1.679389,0.0945,-5.244275,0.189,-18.8,0.189,-85.5,0.189,-13.6,0.0126,0,0.0945,0.03735352,0.0945,0.02148438,0.0945,1.062744,0.0945,2.816794,0.0945,-2.061069,0.0945,0.3358779,0.189,32.7,0.189,9.8,0.189,-275.5
0.0135,6.596476E-05,0.10125,0.182373,0.10125,0.04467773,0.10125,0.9074707,0.10125,-7,0.10125,-1.145038,0.10125,-5.954198,0.2025,-19,0.2025,-85,0.2025,-13.4,0.0135,8.879224E-05,0.10125,0.03588867,0.10125,0.01855469,0.10125,1.061035,0.10125,2.572519,0.10125,-2.091603,0.10125,0.2671756,0.2025,33.3,0.2025,9.6,0.2025,-276.1
0.0144,5.824368E-05,0.108,0.1704102,0.108,0.03588867,0.108,0.9089355,0.108,-6.900764,0.108,-1.312977,0.108,-5.954198,0.216,-18.8,0.216,-84.6,0.216,-12.7,0.0144,9.517052E-05,0.108,0.04052734,0.108,0.02246094,0.108,1.056152,0.108,2.839695,0.108,-1.916031,0.108,0.2748092,0.216,32.9,0.216,9,0.216,-275.9
0.0153,0.0001324331,0.11475,0.1638184,0.11475,0.02905273,0.11475,0.9279785,0.11475,-6.351145,0.11475,-1.656489,0.11475,-5.335878,0.2295,-19.1,0.2295,-84.4,0.2295,-15.4,0.0153,8.845655E-05,0.11475,0.04418945,0.11475,0.02270508,0.11475,1.055176,0.11475,2.862595,0.11475,-2.19084,0.11475,0.3129771,0.2295,33.1,0.2295,8.9,0.2295,-274.9
0.0162,0.0004805524,0.1215,0.1442871,0.1215,0.03808594,0.1215,0.9106445,0.1215,-5.145038,0.1215,-1.557252,0.1215,-4.48855,0.243,-18.8,0.243,-84,0.243,-15.1,0.0162,0.0001059129,0.1215,0.04956055,0.1215,0.02392578,0.1215,1.065918,0.1215,2.832061,0.1215,-2.183206,0.1215,0.2442748,0.243,32.7,0.243,8.7,0.243,-275.9
0.0171,0.0005450065,0.12825,0.151123,0.12825,0.03808594,0.12825,0.9055176,0.12825,-4.603054,0.12825,-2,0.12825,-3.679389,0.2565,-18.7,0.2565,-83.6,0.2565,-14.4,0.0171,6.193637E-05,0.12825,0.04663086,0.12825,0.02587891,0.12825,1.071777,0.12825,2.763359,0.12825,-2.229008,0.12825,0.2671756,0.2565,33.1,0.2565,9.1,0.2565,-275.6
0.018,0.0004307011,0.135,0.1445313,0.135,0.04296875,0.135,0.9160156,0.135,-4.496183,0.135,-2.328244,0.135,-2.664122,0.27,-18.9,0.27,-83.1,0.27,-15.2,0.018,5.874724E-06,0.135,0.04052734,0.135,0.02392578,0.135,1.068604,0.135,2.709924,0.135,-2.21374,0.135,0.2748092,0.27,33.3,0.27,8.6,0.27,-276.4
0.0189,0.0004171054,0.14175,0.1477051,0.14175,0.0559082,0.14175,0.9216309,0.14175,-3.740458,0.14175,-3.335878,0.14175,-0.8854962,0.2835,-19.2,0.2835,-82,0.2835,-14.5,0.0189,-8.979935E-05,0.14175,0.03979492,0.14175,0.02368164,0.14175,1.070801,0.14175,2.717557,0.14175,-2.259542,0.14175,0.2442748,0.2835,32.8,0.2835,9.2,0.2835,-277
0.0198,0.000391928,0.1485,0.1477051,0.1485,0.05883789,0.1485,0.9169922,0.1485,-2.916031,0.1485,-2.419847,0.1485,1.045802,0.297,-19.3,0.297,-82.7,0.297,-15,0.0198,-0.000112459,0.1485,0.04345703,0.1485,0.02001953,0.1485,1.056396,0.1485,2.824427,0.1485,-2.061069,0.1485,0.2900763,0.297,32.7,0.297,9.2,0.297,-275.1
