X[s],"Trigno IM sensor 15: EMG 15 (IM)",X[s],"Trigno IM sensor 15: ACC X 15 (IM)",X[s],"Trigno IM sensor 15: ACC Y 15 (IM)",X[s],"Trigno IM sensor 15: ACC Z 15 (IM)",X[s],"Trigno IM sensor 15: Gyro X 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Y 15 (IM)",X[s],"Trigno IM sensor 15: Gyro Z 15 (IM)",X[s],"Trigno IM sensor 15: Mag X 15 (IM)",X[s],"Trigno IM sensor 15: Mag Y 15 (IM)",X[s],"Trigno IM sensor 15: Mag Z 15 (IM)",X[s],"Trigno IM sensor 16: EMG 16 (IM)",X[s],"Trigno IM sensor 16: ACC X 16 (IM)",X[s],"Trigno IM sensor 16: ACC Y 16 (IM)",X[s],"Trigno IM sensor 16: ACC Z 16 (IM)",X[s],"Trigno IM sensor 16: Gyro X 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Y 16 (IM)",X[s],"Trigno IM sensor 16: Gyro Z 16 (IM)",X[s],"Trigno IM sensor 16: Mag X 16 (IM)",X[s],"Trigno IM sensor 16: Mag Y 16 (IM)",X[s],"Trigno IM sensor 16: Mag Z 16 (IM)"
0.0135,0,0.10125,0.02783203,0.10125,-0.7729492,0.10125,-0.2695313,0.10125,0.7022901,0.10125,5.526718,0.10125,-37.19084,0.2025,-26.4,0.2025,-78.3,0.2025,-18.9,0.0135,0,0.10125,1.139648,0.10125,-0.07104492,0.10125,0.2060547,0.10125,-10.72519,0.10125,-22.86259,0.10125,-22.16794,0.2025,48,0.2025,14.4,0.2025,-285.5
0.0144,0,0.108,0.04394531,0.108,-0.7619629,0.108,-0.2600098,0.108,2.427481,0.108,1.206107,0.108,-37.08397,0.216,-26.3,0.216,-77.9,0.216,-19.6,0.0144,0,0.108,1.148682,0.108,-0.0871582,0.108,0.1608887,0.108,-22.52672,0.108,-20.67175,0.108,-23.92366,0.216,48.2,0.216,14.8,0.216,-284.7
0.0153,0,0.11475,0.07299805,0.11475,-0.7568359,0.11475,-0.2514648,0.11475,3.251908,0.11475,-1.854962,0.11475,-36.72519,0.2295,-26.9,0.2295,-77.8,0.2295,-19,0.0153,0,0.11475,1.145752,0.11475,-0.07714844,0.11475,0.1374512,0.11475,-26.27481,0.11475,-18.45038,0.11475,-26.00763,0.2295,47.7,0.2295,15,0.2295,-285.2
0.0162,0,0.1215,0.08496094,0.1215,-0.7504883,0.1215,-0.2514648,0.1215,5.442748,0.1215,-4.167939,0.1215,-36.51908,0.243,-27.3,0.243,-78,0.243,-17.9,0.0162,0,0.1215,1.197754,0.1215,-0.06542969,0.1215,0.1345215,0.1215,-26.00763,0.1215,-3.160305,0.1215,-28.30534,0.243,47.8,0.243,14.1,0.243,-285.3
0.0171,0,0.12825,0.105957,0.12825,-0.7641602,0.12825,-0.2468262,0.12825,6.870229,0.12825,-7.091603,0.12825,-35.51908,0.2565,-27.2,0.2565,-77.8,0.2565,-19.5,0.0171,0,0.12825,1.162109,0.12825,-0.0546875,0.12825,0.2116699,0.12825,-38.09924,0.12825,8.183207,0.12825,-30.87786,0.2565,47,0.2565,14.8,0.2565,-285.6
0.018,0,0.135,0.09985352,0.135,-0.7739258,0.135,-0.2233887,0.135,9.458015,0.135,-9.694656,0.135,-34.35115,0.27,-27.3,0.27,-77.7,0.27,-19.1,0.018,0,0.135,1.133789,0.135,-0.04248047,0.135,0.1938477,0.135,-26.09924,0.135,0.6946565,0.135,-33.12214,0.27,46.2,0.27,14.7,0.27,-284.7
0.0189,0,0.14175,0.08203125,0.14175,-0.7902832,0.14175,-0.1564941,0.14175,12.0229,0.14175,-12.58779,0.14175,-33.83206,0.2835,-27.5,0.2835,-77.4,0.2835,-19.6,0.0189,0,0.14175,1.163818,0.14175,-0.05493164,0.14175,0.3266602,0.14175,-11.09924,0.14175,15.40458,0.14175,-36.45038,0.2835,45.9,0.2835,14.8,0.2835,-285
0.0198,0,0.1485,0.08398438,0.1485,-0.8078613,0.1485,-0.2119141,0.1485,5.137404,0.1485,4.007634,0.1485,-34.80916,0.297,-27.5,0.297,-77.8,0.297,-19.7,0.0198,0,0.1485,1.110352,0.1485,-0.03735352,0.1485,0.2524414,0.1485,-9.969465,0.1485,8.59542,0.1485,-42.65649,0.297,45.4,0.297,15.3,0.297,-285.3
0.0207,0,0.15525,0.1606445,0.15525,-0.7507324,0.15525,-0.3740234,0.15525,-11.49618,0.15525,41.22137,0.15525,-35.06107,0.3105,-28.1,0.3105,-78.1,0.3105,-20.6,0.0207,0,0.15525,1.10791,0.15525,-0.03491211,0.15525,0.2070313,0.15525,-8.923664,0.15525,17.1145,0.15525,-46.16031,0.3105,44.9,0.3105,15.5,0.3105,-285.9
0.0216,0,0.162,0.157959,0.162,-0.8349609,0.162,-0.4609375,0.162,-32.26717,0.162,68.90076,0.162,-36.44275,0.324,-28.2,0.324,-78.8,0.324,-19.3,0.0216,0,0.162,1.198975,0.162,-0.05053711,0.162,0.2800293,0.162,-5.335878,0.162,15.56489,0.162,-50.47328,0.324,43.6,0.324,15.2,0.324,-284.9
